addr:TW:dataset,source,addr:country,addr:province,addr:city,addr:district,addr:village,addr:neighborhood,addr:street,addr:housenumber,addr:full,description,x,y
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,新湖村,14,復興路,47之6,雲林縣褒忠鄉新湖村14鄰復興路47之6號,農業用溫室,176844.21,2622456.27
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,田洋村,1,中新路,67之10,雲林縣褒忠鄉田洋村1鄰中新路67之10號,農業設施不得設籍,179123.04,2624105.03
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,馬鳴村,9,鎮安路,32之38,雲林縣褒忠鄉馬鳴村9鄰鎮安路32之38號,農業設施,177097.59,2622211.18
166201,雲林縣政府,TW,台灣省,雲林縣,褒忠鄉,馬鳴村,9,鎮安路,32之40,雲林縣褒忠鄉馬鳴村9鄰鎮安路32之40號,農業設施,177167.92,2622209.75
166201,雲林縣政府,TW,台灣省,雲林縣,臺西鄉,台西村,5,民族路10巷,36之1,雲林縣臺西鄉台西村5鄰民族路10巷36之1號,違建,168076.596,2622026.206
166201,雲林縣政府,TW,台灣省,雲林縣,臺西鄉,台西村,15,民權路,1,雲林縣臺西鄉台西村15鄰民權路1號,台西鄉戶政事務所,168374.98,2622143.63
166201,雲林縣政府,TW,台灣省,雲林縣,臺西鄉,富琦村,7,仁愛路,123之8,雲林縣臺西鄉富琦村7鄰仁愛路123之8號,農業資材室不得設籍,170116.32,2624278.31
166201,雲林縣政府,TW,台灣省,雲林縣,臺西鄉,富琦村,7,仁愛路,186之30,雲林縣臺西鄉富琦村7鄰仁愛路186之30號,農業資材室不得設籍,170052.46,2624114.7
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,後湖村,1,復興路,60,雲林縣元長鄉後湖村1鄰復興路60號,農業資材室,182183.529,2619221.546
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,瓦磘村,2,南安路,35,雲林縣元長鄉瓦磘村2鄰南安路35號,農業資材室,184536.62,2615037.57
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,瓦磘村,12,中央路,2之15,雲林縣元長鄉瓦磘村12鄰中央路2之15號,農業資材室,184953.4,2615167.58
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長北村,22,元北路2巷,5之20,雲林縣元長鄉長北村22鄰元北路2巷5之20號,農業資材室,180689.923,2618525.304
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長北村,22,元北路2巷,18,雲林縣元長鄉長北村22鄰元北路2巷18號,農業資材室,180464.82,2617579.29
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長北村,22,元北路2巷,20,雲林縣元長鄉長北村22鄰元北路2巷20號,農業資材室,180547.383,2617514.188
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長北村,13,元東路,1之36,雲林縣元長鄉長北村13鄰元東路1之36號,農業資材室,181028.91,2616690.37
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長北村,13,元東路,1之60,雲林縣元長鄉長北村13鄰元東路1之60號,農業資材室,180469.046,2616591.927
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長北村,18,安寧街,2之66,雲林縣元長鄉長北村18鄰安寧街2之66號,農業資材室,180389.88,2616225.44
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長南村,3,中山路,4之28,雲林縣元長鄉長南村3鄰中山路4之28號,農業資材室,179885.574,2615548.489
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長南村,31,西勢路,13,雲林縣元長鄉長南村31鄰西勢路13號,無管理室不得設籍,178695,2616116.3
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,長南村,24,順天街,12之6,雲林縣元長鄉長南村24鄰順天街12之6號,農業資材室,179614.308,2617354.912
166201,雲林縣政府,TW,台灣省,雲林縣,元長鄉,頂寮村,1,振興路,167,雲林縣元長鄉頂寮村1鄰振興路167號,農業資材室,182367.3,2614698.46
166201,雲林縣政府,TW,台灣省,雲林縣,四湖鄉,施湖村,9,中湖街,23,雲林縣四湖鄉施湖村9鄰中湖街23號,雲林縣四湖鄉戶政事務所,170488.94,2614984.98
166201,雲林縣政府,TW,台灣省,雲林縣,四湖鄉,湖西村,8,關聖路,87,雲林縣四湖鄉湖西村8鄰關聖路87號,四湖圖書館,171033.79,2615327.73
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,下崙村,16,中和路,69之7,雲林縣口湖鄉下崙村16鄰中和路69之7號,豬舍不得設籍,164135.73,2613316.05
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,下崙村,12,中和路,160之3,雲林縣口湖鄉下崙村12鄰中和路160之3號,農業設施不得設籍,163960.87,2614151.45
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,下崙村,12,中和路,160之5,雲林縣口湖鄉下崙村12鄰中和路160之5號,農業設施不得設籍,163868.43,2614173.44
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,下崙村,21,漁港路,223之1,雲林縣口湖鄉下崙村21鄰漁港路223之1號,農業設施不得設籍,163531.71,2613174.93
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,崙中村,1,福安路,176之35,雲林縣口湖鄉崙中村1鄰福安路176之35號,農業設施不得設籍,163602.58,2612335.76
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,崙東村,13,中山路170巷,10,雲林縣口湖鄉崙東村13鄰中山路170巷10號,溫室不得設籍使用,165181.761,2613397.235
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,崙東村,18,東安路,89之5,雲林縣口湖鄉崙東村18鄰東安路89之5號,農業設施不得設籍,165698.51,2613258.83
166201,雲林縣政府,TW,台灣省,雲林縣,口湖鄉,崙東村,18,東安路,89之6,雲林縣口湖鄉崙東村18鄰東安路89之6號,農業設施不得設籍,165651.72,2613270.86
