addr:country,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,x,y,addr:TW:dataset
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,8號,120.654915470998,24.109276881623,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,9號,120.655371217188,24.109204221683,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,10號,120.654796960855,24.109194167054,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,11號,120.655416075641,24.109203609526,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,12號,120.654757317906,24.109194077496,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,13號,120.655462212447,24.109202801592,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,14號,120.654743406806,24.10946610909,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,15號,120.655508546927,24.109202012148,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,16號,120.654791710264,24.109464403321,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,18號,120.654914131936,24.109372761155,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,19號,120.655466108736,24.109437753799,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,20號,120.654914908358,24.109413394936,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,21號,120.65542055893,24.109439366668,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,23號,120.655375894428,24.10944099055,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,24號,120.654916559304,24.10949476204,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,25號,120.655251655663,24.109366750991,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,26號,120.654831949233,24.109616467025,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,26號,120.654831949233,24.109616467025,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,26號,120.654831949233,24.109616467025,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,26號,120.654831949233,24.109616467025,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,26號,120.654831949233,24.109616467025,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,26號,120.654831949233,24.109616467025,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,26號,120.654831949233,24.109616467025,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,27號,120.655252432191,24.109407384771,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,28號,120.654831949233,24.109616467025,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,29號,120.655253405458,24.109448018995,137998
TW,臺中市,南區,樹義里,20鄰,樹義五巷137弄,31號,120.65525428009,24.109488752319,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,53號,120.655237840567,24.110389427907,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,55號,120.655240006747,24.110326227425,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,55號,120.655240006747,24.110326227425,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,55號,120.655240006747,24.110326227425,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,55號,120.655240006747,24.110326227425,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,55號,120.655240006747,24.110326227425,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,55號,120.655240006747,24.110326227425,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,55號,120.655240006747,24.110326227425,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,57號,120.655336045837,24.110326444077,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,57號,120.655336045837,24.110326444077,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,57號,120.655336045837,24.110326444077,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,57號,120.655336045837,24.110326444077,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,57號,120.655336045837,24.110326444077,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,57號,120.655336045837,24.110326444077,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,57號,120.655336045837,24.110326444077,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,59號,120.655413320489,24.110320839578,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,61號,120.655488500274,24.110319112933,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,61號,120.655488500274,24.110319112933,137998
TW,臺中市,南區,樹義里,34鄰,樹義五巷137弄,61號,120.655488500274,24.110319112933,137998
