source,addr:TW:dataset,addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:place,addr:housenumber,addr:floor,addr:full,x,y
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,4,,新竹市東區光明里8鄰光復路二段清大西院20號四樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,5,,新竹市東區光明里8鄰光復路二段清大西院20號五樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,6,,新竹市東區光明里8鄰光復路二段清大西院20號六樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,7,,新竹市東區光明里8鄰光復路二段清大西院20號七樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,20號,8,,新竹市東區光明里8鄰光復路二段清大西院20號八樓,248976.12,2743330.76
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,21號,,,新竹市東區光明里7鄰光復路二段清大東院21號,249994.95,2742829.85
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,22號,,,新竹市東區光明里7鄰光復路二段清大東院22號,250008.48,2742829.52
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,23號,,,新竹市東區光明里7鄰光復路二段清大東院23號,250017.39,2742916.02
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,24號,,,新竹市東區光明里7鄰光復路二段清大東院24號,250030.85,2742917.52
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,25號,,,新竹市東區光明里7鄰光復路二段清大東院25號,250019.48,2742898.67
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,25號,,,新竹市東區光明里8鄰光復路二段清大西院25號,249042.87,2743372.81
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,26號,,,新竹市東區光明里7鄰光復路二段清大東院26號,250031.45,2742899.87
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,26號,,,新竹市東區光明里8鄰光復路二段清大西院26號,249044.99,2743369.64
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,27號,,,新竹市東區光明里7鄰光復路二段清大東院27號,250020.38,2742880.12
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,27號,,,新竹市東區光明里8鄰光復路二段清大西院27號,249061.92,2743370.7
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,28號,,,新竹市東區光明里8鄰光復路二段清大西院28號,249062.67,2743372.96
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,28號,,,新竹市東區光明里7鄰光復路二段清大東院28號,250032.95,2742880.42
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,29號,,,新竹市東區光明里8鄰光復路二段清大西院29號,249045.78,2743357.73
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,29號,,,新竹市東區光明里7鄰光復路二段清大東院29號,250020.68,2742860.67
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,30號,,,新竹市東區光明里8鄰光復路二段清大西院30號,249042.34,2743353.5
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,30號,,,新竹市東區光明里7鄰光復路二段清大東院30號,250034.71,2742860.95
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,31號,,,新竹市東區光明里7鄰光復路二段清大東院31號,250022.47,2742830.15
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,31號,,,新竹市東區光明里8鄰光復路二段清大西院31號,249050.28,2743358
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,32號,,,新竹市東區光明里7鄰光復路二段清大東院32號,250035.04,2742830.15
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,32號,,,新竹市東區光明里8鄰光復路二段清大西院32號,249049.49,2743353.5
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,7,光復路二段,清大東院,33號,,,新竹市東區光明里7鄰光復路二段清大東院33號,250023.37,2742809.8
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,,,新竹市東區光明里8鄰光復路二段清大西院33號,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,1,新竹市東區光明里8鄰光復路二段清大西院33號二樓之1,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,2,新竹市東區光明里8鄰光復路二段清大西院33號二樓之2,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,3,新竹市東區光明里8鄰光復路二段清大西院33號二樓之3,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,5,新竹市東區光明里8鄰光復路二段清大西院33號二樓之5,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,6,新竹市東區光明里8鄰光復路二段清大西院33號二樓之6,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,7,新竹市東區光明里8鄰光復路二段清大西院33號二樓之7,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,8,新竹市東區光明里8鄰光復路二段清大西院33號二樓之8,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,2,9,新竹市東區光明里8鄰光復路二段清大西院33號二樓之9,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,1,新竹市東區光明里8鄰光復路二段清大西院33號三樓之1,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,2,新竹市東區光明里8鄰光復路二段清大西院33號三樓之2,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,3,新竹市東區光明里8鄰光復路二段清大西院33號三樓之3,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,5,新竹市東區光明里8鄰光復路二段清大西院33號三樓之5,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,6,新竹市東區光明里8鄰光復路二段清大西院33號三樓之6,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,7,新竹市東區光明里8鄰光復路二段清大西院33號三樓之7,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,8,新竹市東區光明里8鄰光復路二段清大西院33號三樓之8,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,3,9,新竹市東區光明里8鄰光復路二段清大西院33號三樓之9,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,4,1,新竹市東區光明里8鄰光復路二段清大西院33號四樓之1,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,4,2,新竹市東區光明里8鄰光復路二段清大西院33號四樓之2,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,4,3,新竹市東區光明里8鄰光復路二段清大西院33號四樓之3,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,4,5,新竹市東區光明里8鄰光復路二段清大西院33號四樓之5,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,4,6,新竹市東區光明里8鄰光復路二段清大西院33號四樓之6,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,4,7,新竹市東區光明里8鄰光復路二段清大西院33號四樓之7,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,5,1,新竹市東區光明里8鄰光復路二段清大西院33號五樓之1,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,5,2,新竹市東區光明里8鄰光復路二段清大西院33號五樓之2,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,5,3,新竹市東區光明里8鄰光復路二段清大西院33號五樓之3,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,5,5,新竹市東區光明里8鄰光復路二段清大西院33號五樓之5,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,5,6,新竹市東區光明里8鄰光復路二段清大西院33號五樓之6,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,5,7,新竹市東區光明里8鄰光復路二段清大西院33號五樓之7,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,6,1,新竹市東區光明里8鄰光復路二段清大西院33號六樓之1,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,6,2,新竹市東區光明里8鄰光復路二段清大西院33號六樓之2,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,6,3,新竹市東區光明里8鄰光復路二段清大西院33號六樓之3,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,6,5,新竹市東區光明里8鄰光復路二段清大西院33號六樓之5,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,6,6,新竹市東區光明里8鄰光復路二段清大西院33號六樓之6,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,6,7,新竹市東區光明里8鄰光復路二段清大西院33號六樓之7,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,7,1,新竹市東區光明里8鄰光復路二段清大西院33號七樓之1,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,7,2,新竹市東區光明里8鄰光復路二段清大西院33號七樓之2,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,7,3,新竹市東區光明里8鄰光復路二段清大西院33號七樓之3,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,7,5,新竹市東區光明里8鄰光復路二段清大西院33號七樓之5,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,8,1,新竹市東區光明里8鄰光復路二段清大西院33號八樓之1,249055.17,2743357.93
新竹市政府,157547,TW,台灣省,新竹市,東區,光明里,8,光復路二段,清大西院,33號,8,2,新竹市東區光明里8鄰光復路二段清大西院33號八樓之2,249055.17,2743357.93
