addr:TW:dataset,source,addr:couontry,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x_3826,y_3826
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,70,新北市板橋區景星里011鄰中山路一段2號地下一樓70號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,79,新北市板橋區景星里011鄰中山路一段2號地下一樓79號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,36,新北市板橋區景星里011鄰中山路一段2號地下一樓36號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,77,新北市板橋區景星里011鄰中山路一段2號地下一樓77號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,89,新北市板橋區景星里011鄰中山路一段2號地下一樓89號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,2,新北市板橋區景星里011鄰中山路一段2號地下一樓2號,296396.68690000003,2766670.0659
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,33,新北市板橋區景星里011鄰中山路一段2號地下一樓33號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,62,新北市板橋區景星里011鄰中山路一段2號地下一樓62號,296396.68690000003,2766670.0659
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,4,新北市板橋區景星里011鄰中山路一段2號地下一樓4號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,5,新北市板橋區景星里011鄰中山路一段2號地下一樓5號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,71,新北市板橋區景星里011鄰中山路一段2號地下一樓71號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,58,新北市板橋區景星里011鄰中山路一段2號地下一樓58號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,39,新北市板橋區景星里011鄰中山路一段2號地下一樓39號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,59,新北市板橋區景星里011鄰中山路一段2號地下一樓59號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,16,新北市板橋區景星里011鄰中山路一段2號地下一樓16號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,2之1,新北市板橋區景星里011鄰中山路一段2號地下一樓2之1號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,15,新北市板橋區景星里011鄰中山路一段2號地下一樓15號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,63,新北市板橋區景星里011鄰中山路一段2號地下一樓63號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,24,新北市板橋區景星里011鄰中山路一段2號地下一樓24號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,7,新北市板橋區景星里011鄰中山路一段2號地下一樓7號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,21,新北市板橋區景星里011鄰中山路一段2號地下一樓21號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,板橋區,景星里,011,中山路一段,2號,B1,65,新北市板橋區景星里011鄰中山路一段2號地下一樓65號,296396.551600,2766670.0650000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,9,1Ａ,新北市新莊區光華里027鄰民安西路384號九樓之1Ａ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,9,2Ｂ,新北市新莊區光華里027鄰民安西路384號九樓之2Ｂ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,9,1Ｂ,新北市新莊區光華里027鄰民安西路384號九樓之1Ｂ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,9,2Ａ,新北市新莊區光華里027鄰民安西路384號九樓之2Ａ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,9,2Ｃ,新北市新莊區光華里027鄰民安西路384號九樓之2Ｃ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,10,2Ａ,新北市新莊區光華里027鄰民安西路384號十樓之2Ａ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,10,1Ｂ,新北市新莊區光華里027鄰民安西路384號十樓之1Ｂ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,10,1Ａ,新北市新莊區光華里027鄰民安西路384號十樓之1Ａ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,10,2Ｂ,新北市新莊區光華里027鄰民安西路384號十樓之2Ｂ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,11,2Ａ,新北市新莊區光華里027鄰民安西路384號十一樓之2Ａ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,11,2Ｂ,新北市新莊區光華里027鄰民安西路384號十一樓之2Ｂ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,11,2Ｃ,新北市新莊區光華里027鄰民安西路384號十一樓之2Ｃ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,11,1Ｂ,新北市新莊區光華里027鄰民安西路384號十一樓之1Ｂ室,293211.945100,2766972.0470000
168887,新北市政府,TW,新北市,新莊區,光華里,027,民安西路,384號,11,1Ａ,新北市新莊區光華里027鄰民安西路384號十一樓之1Ａ室,293211.945100,2766972.0470000
