addr:country,addr:province,addr:city,addr:district,addr:hamlet,addr:neighbourhood,addr:street,addr:housenumber,addr:floor,addr:unit,addr:full,x,y,addr:TW:dataset,source
TW,台灣省,澎湖縣,馬公市,中央里,15,中央街,42號,,,澎湖縣馬公市中央里15鄰中央街42號,307666.852,2606985.851,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路4巷,1號,,,澎湖縣馬公市中央里6鄰中山路4巷1號,307646.97,2606816.161,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路4巷1弄,1號,,,澎湖縣馬公市中央里6鄰中山路4巷1弄1號,307642.948,2606828.449,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路4巷,3號,,,澎湖縣馬公市中央里6鄰中山路4巷3號,307645.872,2606821.407,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路4巷,4號,,,澎湖縣馬公市中央里5鄰中山路4巷4號,307656.152,2606824.066,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路4巷,5號,,,澎湖縣馬公市中央里6鄰中山路4巷5號,307646.746,2606826.796,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路4巷,6號,,,澎湖縣馬公市中央里5鄰中山路4巷6號,307658.74,2606836.546,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,7,中山路4巷,7號,,,澎湖縣馬公市中央里7鄰中山路4巷7號,307651.783,2606838.549,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,5,中山路4巷,8號,,,澎湖縣馬公市中央里5鄰中山路4巷8號,307659.572,2606840.429,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,1號,,,澎湖縣馬公市中央里6鄰中山路6巷1號,307586.058,2606818.069,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,2號,,,澎湖縣馬公市中央里6鄰中山路6巷2號,307597.399,2606812.135,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,3號,,,澎湖縣馬公市中央里6鄰中山路6巷3號,307584.058,2606821.238,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,4號,,,澎湖縣馬公市中央里6鄰中山路6巷4號,307597.194,2606814.349,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,5號,,,澎湖縣馬公市中央里6鄰中山路6巷5號,307585.049,2606828.858,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,6號,,,澎湖縣馬公市中央里6鄰中山路6巷6號,307599.73,2606820.028,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,6號,2,,澎湖縣馬公市中央里6鄰中山路6巷6號二樓,307599.73,2606820.028,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,6號,3,,澎湖縣馬公市中央里6鄰中山路6巷6號三樓,307599.73,2606820.028,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,6號,4,,澎湖縣馬公市中央里6鄰中山路6巷6號四樓,307599.73,2606820.028,170852,澎湖縣政府
TW,台灣省,澎湖縣,馬公市,中央里,6,中山路6巷,6號,5,,澎湖縣馬公市中央里6鄰中山路6巷6號五樓,307599.73,2606820.028,170852,澎湖縣政府
